"id";"uen";"oficina_comercial";"cod_motivo";"motivo";"vendedor";"cod_cliente";"cliente";"rut";"domicilio";"camion";"carga";"sector";"tf";"anula_rebaja";"categoria";"fecha_factura";"facturas";"ncr";"total";"producto";"suma_de_cajas";"empresario";"fecha_subida";"fecha_real"
"97475";"COMERCIAL CCU S";"9660 OF. LOS AN";"130";"Falta Esp bodeg";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S25";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108627";"20712971";"109427";"905";"2";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97476";"COMERCIAL CCU S";"9660 OF. LOS AN";"130";"Falta Esp bodeg";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S25";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108627";"20712971";"109427";"915";"2";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97477";"COMERCIAL CCU S";"9660 OF. LOS AN";"130";"Falta Esp bodeg";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S25";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108627";"20712971";"109427";"935";"3";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97478";"COMERCIAL CCU S";"9660 OF. LOS AN";"130";"Falta Esp bodeg";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S25";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108627";"20712971";"109427";"957";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97479";"COMERCIAL CCU S";"9660 OF. LOS AN";"130";"Falta Esp bodeg";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S25";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108627";"20712971";"109427";"1005";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97480";"COMERCIAL CCU S";"9660 OF. LOS AN";"130";"Falta Esp bodeg";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S25";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108627";"20712971";"109427";"1014";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97481";"COMERCIAL CCU S";"9660 OF. LOS AN";"130";"Falta Esp bodeg";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S25";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108627";"20712971";"109427";"1327";"2";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97482";"COMERCIAL CCU S";"9660 OF. LOS AN";"130";"Falta Esp bodeg";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S25";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108627";"20712971";"109427";"1621";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97483";"COMERCIAL CCU S";"9660 OF. LOS AN";"130";"Falta Esp bodeg";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S25";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108627";"20712971";"109427";"870177";"1";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
"97484";"COMERCIAL CCU S";"9660 OF. LOS AN";"130";"Falta Esp bodeg";"96601";"557648";"WALMART CHILE  ";"76042014-K          ";"AV PDTE EDO FREI MONTALVA 830                ";"S25";"1";"0";"CRED PROD      ";"Rebaja";"GASEOSAS       ";"2018-04-02";"83108628";"20712972";"61334";"870181";"3";"Integra";"2018-04-02";"12-04-2018 a las 16:00"
